bookcode,bookDt,payCode,payMethod,custCode,custName,custSurname,custPhone,staffNo,staffName,staffSurname,totalCost,campCode,campName,numOfEmp,empNo,catCode,areaM2,unitCode,startDt,endDt,noPers,costPerRental
1,25/06/1978,2,CH,2710,Kelcey,FORTIER,(+30)000-318-8847,4962,Willy,SAUL,130,ELB,Elbianos,90,34,B,20,10,26/06/1978,29/06/1978,1,40
1,25/06/1978,2,CH,2710,Kelcey,FORTIER,(+30)000-318-8847,4962,Willy,SAUL,130,APL,Apollonia,70,61,C,30,15,26/06/1978,26/06/1978,2,30
1,25/06/1978,2,CH,2710,Kelcey,FORTIER,(+30)000-318-8847,4962,Willy,SAUL,130,ELB,Elbianos,90,39,C,30,15,27/06/1978,28/06/1978,2,60
2,17/10/1986,2,CH,2600,Kania,ISOM,(+30)004-357-0931,5041,Zsa Zsa,DINGLE,180,ROS,Rosibos,200,126,C,30,15,21/10/1986,22/10/1986,2,60
2,17/10/1986,2,CH,2600,Kania,ISOM,(+30)004-357-0931,5041,Zsa Zsa,DINGLE,180,KIS,Kissamos,50,34,B,20,10,18/10/1986,21/10/1986,3,120
3,03/07/1984,3,CA,738,Camella,MCCULLOUGH,(+30)001-479-0939,5013,Yvonne,BETTENCOURT,60,ELB,Elbianos,90,20,B,20,10,04/07/1984,06/07/1984,2,60
4,17/02/1980,3,CA,845,Cassi,DUNLAP,(+30)003-100-7609,5037,Zorah,GALL,150,DIS,Dionysus,100,81,C,30,15,18/02/1980,18/02/1980,1,15
4,17/02/1980,3,CA,845,Cassi,DUNLAP,(+30)003-100-7609,5037,Zorah,GALL,150,ELB,Elbianos,90,37,C,30,15,19/02/1980,22/02/1980,1,60
4,17/02/1980,3,CA,845,Cassi,DUNLAP,(+30)003-100-7609,5037,Zorah,GALL,150,ROS,Rosibos,200,82,C,30,15,21/02/1980,25/02/1980,1,75
5,18/10/1984,2,CH,1661,Eran,ROCK,(+30)005-390-6362,5042,Zsazsa,DESJARDINS,285,ELB,Elbianos,90,47,C,30,15,22/10/1984,23/10/1984,2,60
5,18/10/1984,2,CH,1661,Eran,ROCK,(+30)005-390-6362,5042,Zsazsa,DESJARDINS,285,KIS,Kissamos,50,43,C,30,15,19/10/1984,23/10/1984,3,225
